Luzern/Zürichstrasse/5;2666237;1212081
Luzern/Haldenstrasse/23;2666850;1211965
Luzern/Schweizerhofquai/3;2666261;1211837
Remigen/Geissbergstrasse/3;2656632;1263213
Remigen/Sonnenbergstrasse/5;2656678;1263233
Remigen/Sonnenbergstrasse/2;2656773;1263157
Remigen/Leestrasse/24;2656827;1263119
Remigen/Leeweg/11;2656908;1263039
Remigen/Leestrasse/40;2656952;1263107
Remigen/Obere Leestrasse/2;2656929;1263141
Remigen/Obere Leestrasse/17;2656733;1263261
Remigen/Leestrasse/14;2656685;1263122
Remigen/Hintertrottenstrasse/4;2656685;1263030
Remigen/Villigerstrasse/10;2656676;1262903
Remigen/Am Schmittenbach/3;2656713;1262782
Remigen/Winkelstrasse/23;2656846;1262819
Remigen/Winkelstrasse/16;2656874;1262719
Remigen/Villigerstrasse/1;2656550;1262932
Remigen/Rinikerstrasse/4;2656515;1262893
Remigen/Gansingerstrasse/18;2656550;1263050
Remigen/Mönthalerstrasse/4;2656521;1263050
Remigen/Gansingerstrasse/22;2656540;1263083
Remigen/Gansingerstrasse/23;2656483;1263237
Remigen/Gansingerstrasse/39;2656383;1263416
Basel/Birmannsgasse/49;2610284;1267390
Basel/Birmannsgasse/32;2610387;1267103
Basel/Socinstrasse/55;2610451;1267103
Basel/Eulerstrasse/64;2610522;1267324
Basel/Eulerstrasse/47;2610599;1267259
Basel/Spalentorweg/4;2610697;1267424
Basel/Spalenvorstadt/46;2610717;1267515
Basel/Spalengraben/8;2610764;1267500
Basel/Spalengraben/3;2610829;1267524
Basel/Petersplatz/10;2610836;1267576
Basel/Petersplatz/30;2610971;1267623
Basel/Stiftsgasse/6;2611006;1267614
Basel/Totengässlein/4;2611063;1267609
Basel/Nadelberg/21;2611054;1267488
Basel/Imbergässlein/7;2611105;1267490
Basel/Pfeffergässlein/11;2611099;1267459
Basel/Schneidergasse/32;2611146;1267447
Basel/Münzgasse/1;2611155;1267429
Basel/Marktplatz/2;2611230;1267454
Basel/Gerbergasse/30;2611284;1267339
Basel/Gerbergasse/76;2611308;2611308
Basel/Barfüsserplatz/22;2611344;1267153
Basel/Barfüsserplatz/24;2611341;1267144
Basel/Barfüsserplatz/18;2611311;1267137
Basel/Barfüsserplatz/12;2611306;1267103
Lostorf/Gartenstrasse/13;2638576;1248082
Lostorf/Gartenstrasse/8;2638524;1248045
Lostorf/Hauptstrasse/5;2638434;1248005
Lostorf/Wenigstrasse/2;2638426;1248095
Lostorf/Wenigstrasse/8;2638515;1248132
Lostorf/Wenigstrasse/7;2638594;1248169
Lostorf/Bachstrasse/1;2638569;1248258
Lostorf/Stüsslingerstrasse/6;2638644;1248265
Lostorf/Trottenackerstrasse/3;2638623;1248317
Lostorf/Hauptstrasse/28;2638542;1248289
Lostorf/Juraweg/5;2638500;1248347
Lostorf/Juraweg/14;2638468;1248408
Lostorf/Zehntenweg/8;2638405;1248375
Lostorf/Sandgrubenstrasse/1;2638377;1248326
Lostorf/Mahrenstrasse/2;2638407;1248213
Lostorf/Mahrenstrasse/5;2638284;1248221
Lostorf/Chälenstrasse/3;2638295;1248163
Lostorf/Chälenstrasse/7;2638207;1248119
Lostorf/Kirchenmattstrasse/5;2638322;1247996
Lostorf/Kirchenmattstrasse/1;2638462;1247896
Lostorf/Hofmattstrasse/2;2638466;1247943
Lostorf/Hofmattstrasse/20;2638629;1248033
